0.06;30380;1170;236
2.10;30370;1170;236
4.15;30370;1170;234
6.20;30370;1200;234
8.25;30370;1200;234
10.30;30370;970;234
12.34;30380;1020;232
14.39;30370;1000;232
16.44;30370;1000;232
18.49;30370;1020;232
20.54;30370;1000;230
22.58;30370;1020;230
24.63;30370;1000;230
26.68;30370;1020;230
28.73;30370;1020;229
30.78;30370;1000;229
32.82;30370;1000;229
34.87;30370;1000;229
36.92;30370;1100;228
38.97;30370;1100;228
41.02;30370;1100;228
43.06;30370;1100;228
45.11;30370;1100;228
47.16;30360;1100;228
49.21;30360;1100;228
51.26;30360;1100;228
53.30;30360;1100;227
55.35;30370;1020;227
57.40;30360;1000;227
59.45;30360;1000;227
61.50;30360;1000;227
63.54;30360;1000;227
65.59;30360;1000;227
67.64;30360;1020;227
69.69;30360;1020;227
71.74;30360;1000;227
73.78;30360;1000;227
75.83;30360;1000;227
77.88;30360;1020;227
79.93;30360;1020;227
81.98;30360;1020;227
84.02;30360;1020;227
86.07;30360;1020;227
88.12;30360;1020;227
90.17;30360;1040;227
92.22;30360;1020;227
94.26;30360;1040;227
96.31;30360;1070;227
98.36;30360;1070;227
100.41;30360;1170;227
102.46;30360;1220;227
104.50;30350;1270;227
106.55;30360;1140;227
108.60;30360;1170;227
110.65;30360;1170;227
112.70;30350;1170;227
114.74;30350;1170;227
116.79;30350;1170;227
118.84;30350;1170;227
120.89;30350;1200;227
122.94;30350;1170;227
124.98;30350;1290;227
127.03;30350;1290;227
129.08;30350;1250;227
131.13;30350;1290;227
133.18;30350;1200;227
135.22;30350;1170;227
137.27;30350;1170;227
139.32;30350;1170;227
141.37;30350;1320;227
143.42;30350;1220;227
145.46;30350;1200;227
147.51;30350;1170;227
149.56;30350;1170;227
151.61;30340;1600;227
153.66;30200;7620;227
155.70;30200;7370;227
157.75;30190;7290;227
159.80;28770;79970;227
161.85;28350;99800;227
163.90;27780;118310;227
165.94;27800;107850;227
167.99;27370;127260;227
170.04;27570;109950;227
172.09;27400;116310;227
174.14;27210;122090;227
176.18;27720;85600;229
178.23;27500;92950;229
180.28;28390;47160;229
182.33;28500;45560;229
184.38;28770;32000;233
186.42;28970;26320;233
188.47;29100;21630;233
190.52;29190;18480;233
192.57;29270;16000;239
194.62;29290;16950;239
196.66;29300;18570;239
198.71;29240;22450;239
200.76;29230;22530;244
202.81;29330;17830;244
204.86;29370;15180;244
206.90;29460;12670;244
208.95;29430;16900;249
211.00;29350;21150;249
213.05;29440;15470;249
215.10;29520;10520;249
217.14;29550;11680;252
219.19;29530;14550;252
221.24;29730;1500;252
223.29;29680;5280;252
225.34;29690;5770;255
227.38;29690;6850;255
229.43;29680;7830;255
231.48;29660;9350;255
233.53;29660;9770;257
235.58;29650;10050;257
237.62;29650;10950;257
239.67;29640;11100;257
241.72;29640;11200;259
243.77;29640;11300;259
245.82;29480;16320;259
247.86;29210;32980;259
249.91;29350;23630;260
251.96;29390;21150;260
254.01;29350;26000;260
256.06;29370;20750;260
258.10;29470;15500;261
260.15;29470;15730;261
262.20;29470;16130;261
264.25;29430;18450;261
266.30;29390;20050;262
268.34;29400;18970;262
270.39;29400;19830;262
272.44;29400;18250;262
274.49;29410;17920;263
276.54;29410;17950;263
278.58;29390;18350;263
280.63;29400;17950;263
282.68;29410;17300;264
284.73;29400;18380;264
286.78;29410;16320;264
288.82;29430;14250;264
290.87;29400;24450;264
292.92;29190;28310;264
294.97;29190;21030;264
297.02;29540;1900;264
299.06;29560;6230;265
301.11;29550;7870;265
303.16;29550;8850;265
305.21;29550;9470;265
307.26;29550;9470;266
309.30;29560;8880;266
311.35;29560;9100;266
313.40;29560;9830;266
315.45;29550;10300;266
317.50;29540;10970;266
319.54;29540;10720;266
321.59;29540;10920;266
323.64;29530;10950;267
325.69;29530;10950;267
327.74;29540;10750;267
329.78;29540;10780;267
331.83;29540;10640;267
333.88;29550;9800;267
335.93;29560;9440;267
337.98;29560;9170;267
340.02;29560;9120;268
342.07;29570;8700;268
344.12;29580;8170;268
346.17;29590;7440;268
348.22;29600;7100;268
350.26;29610;7170;268
352.31;29600;7290;268
354.36;29620;6600;268
356.41;29640;5370;268
358.46;29650;4850;268
360.50;29670;3870;268
362.55;29670;3950;268
364.60;29670;4670;268
366.65;29650;5420;268
368.70;29650;6200;268
370.74;29630;6570;268
372.79;29630;6550;269
374.84;29650;5350;269
376.89;29650;5350;269
378.94;29670;4170;269
380.98;29680;3900;269
383.03;29690;3500;269
385.08;29690;3600;269
387.13;29690;3540;269
389.18;29700;3280;269
391.22;29700;3280;269
393.27;29700;3650;269
395.32;29690;4600;269
397.37;29690;4550;269
399.42;29690;4820;269
401.46;29670;5680;269
403.51;29660;5440;269
405.56;29660;5500;269
407.61;29660;5600;269
409.66;29660;5470;269
411.70;29650;5750;269
413.75;29660;5350;269
415.80;29650;5800;269
417.85;29650;5830;269
419.90;29650;5690;269
421.94;29660;4950;269
423.99;29660;4850;269
426.04;29660;4920;269
428.09;29660;4770;269
430.14;29660;4620;269
432.18;29670;4080;269
434.23;29680;3500;269
436.28;29690;3520;269
438.33;29680;3770;269
440.38;29690;3440;269
442.42;29700;2820;269
444.47;29700;3000;269
446.52;29700;3220;269
448.57;29710;2420;269
450.62;29720;2090;269
452.66;29730;1540;269
454.71;29730;1750;269
456.76;29730;1840;269
458.81;29730;2080;269
460.86;29730;1940;269
462.90;29730;2050;269
464.95;29730;2150;269
467.00;29720;2950;269
469.05;29710;2890;269
471.10;29710;14020;269
473.14;29240;28480;269
475.19;29270;23920;269
477.24;29400;14930;269
479.29;29270;20850;269
481.34;29250;23550;269
483.38;29320;14880;269
485.43;29580;3370;269
487.48;29560;4200;269
489.53;29570;4270;269
491.58;29570;4750;269
493.62;29570;5290;270
495.67;29570;5520;270
497.72;29560;6120;270
499.77;29550;6630;270
501.82;29540;7370;270
503.86;29530;8230;270
505.91;29530;7770;270
507.96;29540;7000;270
510.01;29550;6670;270
512.06;29550;6920;270
514.10;29550;6670;270
516.15;29550;6640;270
518.20;29540;6800;270
520.25;29550;6920;270
522.30;29550;6400;270
524.34;29560;5840;270
526.39;29560;6300;270
528.44;29550;6800;270
530.49;29540;7280;270
532.54;29530;7680;270
534.58;29520;8080;270
536.63;29530;7400;270
538.68;29520;7870;270
540.73;29510;8300;271
542.78;29510;7870;271
